Педагог дополнительного образования (программирование scratch/python, робототехника lego) | Будьте первым | от 18000 руб. | Проведение образовательных программ на доп. площадке центра - в п. Ильинское и в г. Жуковский МО. Контроль выполнения учениками…Коммуникабельность, грамотно поставленная речь. Наличие мед.книжки. Желание развиваться и повышать квалификацию. Наличие… | https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-44818691.html
Разработчик БД | None | до 130000 руб. | Разработка и сопровождение комплексных решений (BI-приложения, хранилища данных). Разработка отчетов, витрин данных, дашбордов…Высшее образование. Опыт работы с аналогичным функционалом от 3-х лет. Уверенный разработчик ПО (MS SQL, MySQL, PostgreSQL) | https://russia.superjob.ru/vakansii/razrabotchik-bd-42492143.html
Главный специалист информационной безопасности (endpoint security) | None | 0 руб | Эксплуатация и конфигурирование СЗИ: антивирусная защита, средства защиты от НСД, средства защиты виртуализации и других…Опыт работы с средствами контейнеризации (kubernetes, k8s, docker) | https://russia.superjob.ru/vakansii/glavnyj-specialist-informacionnoj-bezopasnosti-44749828.html
Программист MS Dynamics AX (Axapta) | None | 120000 — 150000 руб. | Разработка в DAX 2009. Разработка других сервисов при наличии компетенций (Java, C#, Python, PHP, JS)Опыт программирования в MS DAX - чем больше, тем лучше. Знание и умение применить ООП. Следование Best Practices. Знание… | https://russia.superjob.ru/vakansii/programmist-ms-dynamics-ax-40488589.html
Специалист по информационному обеспечению | None | 0 руб | Проектирование, разработка и сопровождение программного обеспечения для ежедневного расчета поступления продукции от подразделений…Высшее образование, направления математика / информационные технологии / менеджмент и т.п. Владение английским языков (Pre… | https://russia.superjob.ru/vakansii/specialist-po-informacionnomu-obespecheniyu-44572829.html
Специалист службы поддержки | Удаленная работа | от 15000 руб. | Отвечать на сообщения пользователей по почте и в чатах. Консультировать по вопросам, связанным с Поиском. Передавать информацию…Можете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (особенно техническое) | https://russia.superjob.ru/vakansii/specialist-sluzhby-podderzhki-44347820.html
Главный специалист по информационным системам | None | от 70000 руб. | Организация, внедрение и обслуживание информационных систем и информационных технологий Учреждения, поддержку и усовершенствование…Высшее профильное образование. Знание операционных систем семейства WINDOWS, СУБД, SQL сервер, платформа 1 С, знание языков… | https://russia.superjob.ru/vakansii/glavnyj-specialist-po-informacionnym-sistemam-36132848.html
PHP developer (strong middle) | Удаленная работа | 0 руб | Разрабатывать новый функционал и переносить legacy-код в микросервисы. Сопровождать коммерческие проекты компании: настраивать…Опыт коммерческой разработки на PHP от 3 лет. Отличное знание фреймворка Laravel и чистого PHP (legacy код у нас на php5.4… | https://russia.superjob.ru/vakansii/php-developer-44568263.html
Системный архитектор (информационная безопасность) | None | 0 руб | Развитие команды по направлениям SIEM, DLP, UEBA, IRP. Разработка и внедрение технических решений с упором на мониторинг…Опыт внедрения SIEM, DLP систем различных вендоров. Опыт внедрения IRP систем различных вендоров. Знание стека сетевых технологий… | https://russia.superjob.ru/vakansii/sistemnyj-arhitektor-44759980.html
Инженер-радиоэлектронщик 1 категории | Опыт не нужен | 0 руб | Участие в проектировании устройств по ТЗ. Написание программ для микроконтроллеров различных производителей (Atmel, STM32 и др.)Высшее (техническое) образование. Знание С++, Python, Java. Опыт работы с контроллерами Atmel, Cortex. Приветствуются знания… | https://russia.superjob.ru/vakansii/inzhener-radioelektronschik-1-kategorii-43148990.html
Администратор Bitrix | Удаленная работа | 55000 — 75000 руб. | Нет описания | https://russia.superjob.ru/vakansii/administrator-bitrix-44516131.html
Программист | None | 0 руб | Установка администрирование ОС Windows, прокси-сервер. Разработка нового и доработка существующего функционала систем, рефакторинг…Высшее профильное образование. Стрессоустойчивость. Знание офисного пакета программ. Языки: С++, РHP, JavaScript, Python | https://russia.superjob.ru/vakansii/programmist-30913844.html
Программист C/C++ | None | 0 руб | Разработка программного обеспечения. Участие в подготовке проектной и технической документации. Культура разработки (контроль…Коллектив компании начал совместную работу более 15 лет назад, желание использовать накопленный опыт и разработки привело… | https://russia.superjob.ru/vakansii/programmist-c-44556906.html
Куратор IT-Полигона | None | от 80000 руб. | Поддержка связи с родителями по вопросам качества обучения. Планирование и проведение интерактивных занятий согласно программеЕсли вы любите вашу специальность, хотите работать в лучшей школе Москвы на сверхсовременном оборудовании и ладите с детьми… | https://russia.superjob.ru/vakansii/kurator-it-poligona-39024465.html
Доцент / Профессор | None | 0 руб | Проведение учебных занятий согласно учебному плану курса. Подготовка и развитие методических материалов. Ведение обязательного…Преподаватель по дисциплинам. Программирование (Pascal, Python, C#, Basic, SQL). Информационные технологии | https://russia.superjob.ru/vakansii/docent-34389482.html
Инженер, техник | None | от 35000 руб. | Проведение экспериментов. Работа с измерительной техникой (измерения, наладка, понимание принципов работы). Исследование…Высшее или незаконченное техническое образование по специальностям: ядерная физика, экспериментальная ядерная физика, физика… | https://russia.superjob.ru/vakansii/inzhener-42940168.html
Инженер / Ведущий инженер | Доступно студентам | 0 руб | Математическое моделирование деталей двигателей и выполнение расчетных исследований. Сбор, обработка, анализ и систематизация…Навыки моделирования, оптимизации конструкций, расчетов на прочность высоконагруженных деталей, в т.ч. определение динамических… | https://russia.superjob.ru/vakansii/inzhener-42700982.html
Специалист по работе с базой данных | None | от 35000 руб. | Контроль и загрузка в БД информации из различных источников. Выявление закономерностей и аномалий в загружаемых данных. Формирование…Системное и аналитическое мышление. Умение работать с большим объемом информации. Умение работать в режиме многозадачности | https://russia.superjob.ru/vakansii/specialist-po-rabote-s-bazoj-dannyh-31061879.html
Specialist DevOps | Удаленная работа | до 280000 руб. | Проектирование и разработка архитектуры для микросервисных решений. Анализ имеющейся в компании архитектуры. Внедрение процессов…Уверенные знания Linux. Опыт использования CI/CD в рамках Gitlab. Опыт работы с Ansible, Terraform, molecule. Опыт работы с git | https://russia.superjob.ru/vakansii/specialist-devops-40719996.html
Инженер-программист | None | 31500 руб. | Сопровождение программных комплексов на СУБД FoxPro, Cache, OracleОпыт работы: с языками программирования С++, Python, PHP, Delphi, Java, с базами данных СУБД FoxPro, Cache, Oracle, администрирование… | https://russia.superjob.ru/vakansii/inzhener-programmist-43503556.html
Менеджер проектов / Data Engineer | None | 0 руб | Ищем специалиста, который сможет выстроить архитектуру базы данных (ORACLE) и усовершенствовать внутреннюю аналитическую…НАВЫКИ И СТЕК. Знание SQL, опыт работы с реляционными СУБД (Oracle, MySQL, PostgreSQL и пр.). Умение писать качественный… | https://russia.superjob.ru/vakansii/menedzher-proektov-44373196.html
ML инженер (computer vision и machine learning) | Доступно студентам | от 55000 руб. | Разработка методов, алгоритмов процедур. Анализ данных. Разработка программного обеспечения. Написание отчетов, проведения…Высшее профессиональное образование. Знания в одной или нескольких из следующих областей: компьютерное зрение, обработка… | https://russia.superjob.ru/vakansii/ml-inzhener-44342838.html
Преподаватель по профессии Оператор ЭВМ | None | 0 руб | Проведение занятий для обучающихся образовательных организаций города Москвы в рамках проекта «Профессиональное обучение…Наличие опыта преподавания по профессии Оператор ЭВМ | https://russia.superjob.ru/vakansii/prepodavatel-po-professii-operator-evm-44736086.html
Специалист службы поддержки с техническими знаниями (Браузер) | Удаленная работа | от 15000 руб. | Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию…Грамотно пишете по-русски. Умеете четко и структурированно излагать мысли. Легко находите главную информацию в текстах разного… | https://russia.superjob.ru/vakansii/specialist-sluzhby-podderzhki-s-tehnicheskimi-znaniyami-39820623.html
Инженер платформенной инфраструктуры (DevOps инженер) | None | 0 руб | Работа с k8s. Администрирование кластеров Clickhouse. Совершенствование мониторинга и алертинга средствами Prometheus/Al…Уверенные знания Linux (Centos, Ubuntu). Практический опыт работы с K8s (Helm/Kustomize). Желание исследовать и разбираться… | https://russia.superjob.ru/vakansii/inzhener-platformennoj-infrastruktury-44402405.html
Специалист МСФО | Опыт не нужен | 0 руб | Сбор и обработка отчетностей от российских дочерних обществ, проведение сверки с дочерними обществами, участие в расчете…Высшее образование по направлению экономика/ бухгалтерский учет/ финансы/ аудит. Знание основ экономики и бухгалтерского учета | https://russia.superjob.ru/vakansii/specialist-msfo-44684601.html
DevOps Engineer | None | 0 руб | Участие в разработке высоконагруженных распределенных приложений. Поддержка внутренней инфраструктуры разработки приложенийОпыт работы с брокерами очередей (RabbitMQ), СУБД (PostgreSQL, MongoDB). Обучаемость, инициативность, организованность | https://russia.superjob.ru/vakansii/devops-engineer-44556056.html
Аналитик психологической службы | None | 0 руб | Участие в разработке системы критериев и показателей для оценивания эффективности деятельности по психологическому сопровождению…Высшее психологическое образование. Работа практическим психологом в сфере образования. Владение современными цифровыми инструментами… | https://russia.superjob.ru/vakansii/analitik-psihologicheskoj-sluzhby-41239401.html
Специалист по информационным системам | None | от 70000 руб. | Обязанности. Организация, внедрение и обслуживание информационных систем и информационных технологий Учреждения, поддержку…Высшее профильное образование. Знание операционных систем семейства WINDOWS, СУБД, SQL сервер, платформа 1 С, знание языков… | https://russia.superjob.ru/vakansii/specialist-po-informacionnym-sistemam-36146717.html
Инженер | Доступно студентам | 0 руб | Математическое моделирование деталей двигателей и выполнение расчетных исследований. Сбор, обработка, анализ и систематизация…Навыки моделирования, оптимизации конструкций, расчетов на прочность высоконагруженных деталей, в т.ч. определение динамических… | https://russia.superjob.ru/vakansii/inzhener-43001418.html
Педагог дополнительного образования (центр цифрового обучения IT-куб) | None | 0 руб | Программирование роботов. Разработка VR/AR-приложений. Программирование на PythonОбщие требования к кандидатам в педагоги в IT-куб:- техническое и/или педагогическое образование- знание основ объектно-ориентированного… | https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-33595426.html
Системный администратор | None | 120000 руб. | Вы понимаете, что выполнение поручений руководителя — это крайне важно. Знаете как осуществить мониторинг сервисов, выявить…Вы знаете что такое кластер виртуализации Proxmox (kvm) и понимаете, как он работает. Вы уверенно знаете, как администрировать… | https://russia.superjob.ru/vakansii/sistemnyj-administrator-38671598.html
Инженер по оптоэлектронике | Опыт не нужен | от 50000 руб. | Исследования и разработки по созданию оптоэлектронных устройств для измерительной техники. Исследования и разработки по созданию…Хорошие знания геометрической и волновой оптики, лазерной физики, оптоэлектроники, физики источников и приемников лазерного… | https://russia.superjob.ru/vakansii/inzhener-po-optoelektronike-42990019.html
Аналитик | Отклик без резюме | от 150000 руб. | Анализ структуры ассортимента в условиях быстрого изменения условий на рынке. Формирование ассортимента стока. Анализ оборачиваемости…Математическое/физическое/техническое образование. Опыт работы от 3 лет в B2B компании с широким ассортиментом: автозапчасти… | https://russia.superjob.ru/vakansii/analitik-44548486.html
Системный администратор | Опыт не нужен | от 25000 руб. | Администрирование серверов на базе Linux и OC Windows. Поддержка и настройка сетевой инфраструктуры. Администрирование DHCP…Знание Windows server. Знание Windows Active Directory. Знание основ tcp/ip. Знание скриптовых языков Python, JavaScript,… | https://russia.superjob.ru/vakansii/sistemnyj-administrator-44548608.html
Специалист 1 разряда отдела мониторинга функционирования АИС ФНС России | None | от 45000 руб. | Мониторинг функционирования автоматизированной информационной системы (АИС). Сбор стат. Данных о значениях ключевых параметров…Среднее профессиональное или высшее образование по IT-направлениям. Желательно иметь знания HTML, CSS, Javasсript, PHP, SQL… | https://russia.superjob.ru/vakansii/specialist-1-razryada-otdela-monitoringa-funkcionirovaniya-ais-fns-rossii-38482723.html
Программист-разработчик | None | от 50000 руб. | Разработка пользовательского ПО, необходимого для ежедневной деятельности сотрудников компании (CRM, BPM, Helpdesk). Интеграция…Опыт работы: от 2-х лет. Уровень знания английского языка на уровне чтения технической литературы/документации. Знания шаблонов… | https://russia.superjob.ru/vakansii/programmist-razrabotchik-32041070.html
