Педагог дополнительного образования (программирование scratch/python, робототехника lego) | Будьте первым | от 18000 руб. | Проведение образовательных программ на доп. площадке центра - в п. Ильинское и в г. Жуковский МО. Контроль выполнения учениками…Коммуникабельность, грамотно поставленная речь. Наличие мед.книжки. Желание развиваться и повышать квалификацию. Наличие… | https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-44818691.html
Программист Python | None | 0 руб | Участие в масштабных проектах: Высоконагруженные информационные системы, системы управления инфраструктурой городов на основе машинного обучения, системы потокового распознавания аудио и... | https://hh.ru/vacancy/69346363
Стажер Data Scientist (NLP) | None | 0 руб | Анализ данных, связанных с клиентскими коммуникациями. Разработка NLP-моделей. Проведение А/Б тестов. | https://hh.ru/vacancy/70516166
Программист-разработчик Middle\Senior на Python | None | 100000 - 400000 руб | Разработка API. - Разработка архитектурных решений действующего проекта. - Интеграции с внешними сервисами. - Работа с базами данных PostgreSQL. - Работа с брокерами сообщений. | https://hh.ru/vacancy/69797225
Python разработчик | None | 0 руб | Разработкой API. Интеграцией сторонних сервисов. Участием в полном цикле разработки - проектирование, программирование, тестирование, поддержка. Контролированием качества кода. | https://hh.ru/vacancy/55581349
Fullstack программист Python+Django | Удаленная работа | 80000 - 140000 руб | Доработка и разработка нового функционала в django admin для наших аналитиков и операторов. Доработка нашего портала для клиентов.  | https://hh.ru/vacancy/70518984
АККРЕДИТОВАННАЯ КОМПАНИЯ Программист Python (прикладная математика) | Опыт не нужен | 0 руб | Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, разработки в области data science, проектирования, тестирования и создания графического дизайна. -  | https://hh.ru/vacancy/48411370
Python-разработчик | None | 0 руб | Разрабатывать микросервисное решение на <highlighttext>Python</highlighttext>. Применять лучшие практики при реализации продукта. Плотное взаимодействие с другими участниками команды (аналитики, фронтенд разработчики.. ),  | https://hh.ru/vacancy/69312008
Lead Python разработчик | Удаленная работа | 250000 - 300000 руб | None | https://hh.ru/vacancy/70484294
Backend-разработчик | None | от 210000 руб | Веб Крафт – это нижегородская компания, участвующая в разработке веб-приложений. Мы занимаемся разработкой, маркетингом, техническим сопровождением клиентов и распространением приложений... | https://hh.ru/vacancy/68729729
Python Developer | None | 0 руб | Участие в проектировании архитектуры в сотрудничестве с архитекторами и другими руководителями. Backend-разработка веб-приложений на Django. Написание функций обработчиков... | https://hh.ru/vacancy/70347726
Стажер-системный инженер | Опыт не нужен | 0 руб | Разработка механизмов загрузки и обработки данных. Проектирование корпоративных хранилищ данных. Работа с big data. | https://hh.ru/vacancy/69416447
Аналитик | None | 150000 - 200000 руб | Проводить разведочный анализ данных (EDA). - Проводить исследования и аналитические разборы. - Формирование срезов данных для построения отчетов. - Построение моделей данных. -  | https://hh.ru/vacancy/70165043
Программист Python | Удаленная работа | 0 руб | Разработка приложения с микросервисной архитектурой. Участие в анализе и решении задач по развитию архитектуры приложения. | https://hh.ru/vacancy/70481201
Программист Python | None | 0 руб | Разработкой новых и доработкой существующих программных продуктов на <highlighttext>Python</highlighttext>. Участием в анализе (разработке) требований к реализации новых решений.  | https://hh.ru/vacancy/70391903
Программист С++ Senior | None | 400000 - 700000 руб | Разрабатывать приложения, работающие с биржевой инфраструктурой. Проектировать компоненты low-latency торговой платформы. | https://hh.ru/vacancy/54081874
Python developer | None | 0 руб | Проектирование компонентов систем. Организация процесса разработки. Написание и ревью кода. Наставление менее опытных коллег. | https://hh.ru/vacancy/66934335
Middle Python разработчик (Django) | None | 160000 - 240000 руб | Приветствуем вовлеченность разработчиков в бизнес, а не просто написание кода по ТЗ. Ценим готовность брать ответственность и делиться опытом с... | https://hh.ru/vacancy/67115536
Data Analyst (Marketing) | None | 0 руб | Собирать и валидировать отчеты, находить инсайты в данных. Настраивать дашборды для мониторинга основных маркетинговых показателей. Участвовать в развитии LTV модели. | https://hh.ru/vacancy/69404269
Backend разработчик python | Удаленная работа | 0 руб | Участие в проектировании и реализации архитектурных решений. Реализация модулей взаимодействия между сервисами, приложениями и серверами. Код- ревью разработки внешней команды. | https://hh.ru/vacancy/69286250
Computer-Vision Инженер (Python) | None | 0 руб | Имплементация и обучение моделей Perception блока ADAS (в последующем беспилотного автомобиля), таких как детекция, сегментация, треккинг и т.д.  | https://hh.ru/vacancy/66913381
Data Scientist | None | до 105000 руб | Построение поведенческих моделей по различным продуктам Банка с применением статистических и математических подходов. Подготовка данных для исследований и для задач... | https://hh.ru/vacancy/70360322
Разработчик Python / Python Backend Developer | None | 0 руб | None | https://hh.ru/vacancy/70366984
Middle backend Python developer | None | от 200000 руб | Дорабатывать существующий функционал серверной части системы. Писать новый функционал. Писать тесты на новые сложные функции. Поддерживать старый код. Рефакторинг. | https://hh.ru/vacancy/69655755
Backend разработчик Python (Django) | None | 0 руб | Разработка интерфейса пользователя и back-end'а системы управления. | https://hh.ru/vacancy/69500585
Разработчик чат-ботов в Telegram (Python) | None | 0 руб | Создание чат-ботов. Поддержĸа ĸода в случае необходимости. Кратĸое доĸументирование того, ĸаĸ работает ĸод. | https://hh.ru/vacancy/69408489
Middle Data Scientist | None | от 250000 руб | Делать полный цикл обучения моделей: Собирать фидбеки с заказчиков и улучшать модели. | https://hh.ru/vacancy/69713433
Python Back-end Разработчик / Python Back-end Developer | None | 0 руб | Разработка back-end части веб-сервиса. | https://hh.ru/vacancy/46823861
Python разработчик | Удаленная работа | 0 руб | Поддержка и развитие приложения бизнес-отчетности (Django + Superset) для внутренних потребителей. Поддержка и развитие ряда приложений по интеграции со... | https://hh.ru/vacancy/69988089
Python разработчик | None | 0 руб | Разработка нового функциональности и поддержка существующей системы. -Проведение code-review. -Покрытие кода тестами. | https://hh.ru/vacancy/66660009
Middle Python Developer | None | от 90000 руб | Участвовать в разработке продукта на всех этапах, проводить Code Review. Участвовать в выработке технических и архитектурных решениях. | https://hh.ru/vacancy/70456814
Python разработчик (личный кабинет пользователя) | Удаленная работа | 0 руб | Короткий цикл собесов и принятия решения. Используем самые удобные и приятные тулы организации и автоматизации разработки. | https://hh.ru/vacancy/70178817
Product Analyst | Удаленная работа | 0 руб | Сопровождать запуски новых фичей, участвовать в выборе метрик для них, помогать со сбором данных. Разработка и развитие системы отчетов/метрик... | https://hh.ru/vacancy/70076573
Middle Python Developer | None | до 250000 руб | Разработка ядра сервиса для обработки задач. Разработка REST API. Интеграция ядра с личным кабинетом на сайте (сайтом занимается отдельная команда). | https://hh.ru/vacancy/70051113
Ведущий разработчик Python (Middle\Senior Python Developer) | None | 150000 - 300000 руб | Разработка нового fintech-приложения с микросервисной архитектурой для рынков Юго-Восточной Азии. Реализация API для внешних систем (как собственных, так... | https://hh.ru/vacancy/70151569
Python Team Lead / Руководитель backend разработки (в аккредитованную ИТ компанию) | None | 400000 - 450000 руб | Управление командой разработчиков. В начале придется тоже покодить, в дальнейшем можно будет выстроить систему так, что нужно будет только лидовать.  | https://hh.ru/vacancy/48216332
Middle / Senior Python developer | Удаленная работа | 0 руб | Ищем опытного <highlighttext>Python</highlighttext> developer в команду по разработке сервиса генерации синтетических данных с помощью ML алгоритмов. Задачи: Создание DAG, сервисов... | https://hh.ru/vacancy/69625290
Python Backend Developer | None | 0 руб | Drive the architectural design, implementation plan, and best practices for different projects to help us deliver the best product.  | https://hh.ru/vacancy/70494566
Python Developer + ML | None | от 150000 руб | Разработка и доработка существующей обвязки под исполнение нейронных сетей различных топологий на <highlighttext>Python</highlighttext>. Запуск и управление инференсом моделей под Intel... | https://hh.ru/vacancy/69337436
Senior Python разработчик (Django) | None | от 280000 руб | Приветствуем вовлеченность разработчиков в бизнес, а не просто написание кода по ТЗ. Ценим готовность брать ответственность и делиться опытом с... | https://hh.ru/vacancy/69529590
Ведущий разработчик Python | None | 0 руб | Разработка и реализация алгоритмов в виде масштабируемых сервисов. Разработка клиентских и web-приложений. Участие в разработке программно-аппаратных решений для... | https://hh.ru/vacancy/70465487
Инженер-разработчик (программист Python) | None | 0 руб | ...Linux (С/С++),<highlighttext>Python</highlighttext>. - Разработка драйверов устройств для ОС GNU/Linux. - Поддержка ранее разработанного ПО (С/С++,<highlighttext>Python</highlighttext>). -  | https://hh.ru/vacancy/70137463
ML-разработчик (Телеком) | None | 150000 - 300000 руб | Опыт написания "с нуля" нейросетевых инструментов (спектр достаточно широкий - библиотеки под supervised learning, unsupervised learning, reinforcement learning; различные функции активации... | https://hh.ru/vacancy/70459155
Аналитик данных\Data Analyst | None | 0 руб | Помогать заказчикам уточнять их пожелания к результату перед тем, как выполнять задачу. Работать с разными продуктовыми и бизнес командами.  | https://hh.ru/vacancy/55312559
Python-разработчик | None | 0 руб | Разрабатывает тестовые процедуры с нуля, подбирает всё необходимое железо и автоматизирует его работу. Разрабатывает надёжный софт для программно-аппаратной валидации... | https://hh.ru/vacancy/69107011
Программирующий математик | Удаленная работа | 0 руб | Расширяем команду математиков. Продуктовая разработка вычислительных программ с использованием разнообразного математического аппарата. Обеспечиваются все пожелания, связанные с обустройством эффективного рабочего... | https://hh.ru/vacancy/54770574
Программист Python | None | 0 руб | Разработка нового продукта. - Взаимодействие с другими сервисами. - Взаимодействие с заказчиками, аналитиками, специалистами. - Поддержка собственного микросервиса, участие в релизном процессе. -  | https://hh.ru/vacancy/69557343
Инженер-программист (Python) | None | 0 руб | Разработка программ, компонентов программ и программных модулей на языке <highlighttext>Python</highlighttext>. Разработка алгоритмов управления и взаимодействия в программах. Разработка графических пользовательских... | https://hh.ru/vacancy/69100495
Python-разработчик в R&D отдел | None | 100000 - 150000 руб | Написание чистого, понятного кода. Реализация сетевых клиентов и протоколов по документации. Взаимодействие с исследователями. Покрытие тестами. Написание документации.  | https://hh.ru/vacancy/70097294
Разработчик Python | None | 0 руб | Участие в разработке Личных кабинетов в роли бэк-енд разработчика (разработка бэк-енд сервисов, интеграция с фронт-ендом и внешними... | https://hh.ru/vacancy/69775549
Fullstack Python-разработчик | Удаленная работа | 150000 - 200000 руб | Разработка frontеnd и backend частей системы сбора данных и управления удаленными устройствами. Участие в разработке и анализе требований, проектировании архитектуры... | https://hh.ru/vacancy/69604918
Python-разработчик Pre Middle / Middle | None | 60000 - 140000 руб | Разработка веб-приложений и поддержание работы существующих проектов. Backend разработка на <highlighttext>Python</highlighttext>/django/flask. | https://hh.ru/vacancy/70328580
Python-разработчик (middle), удаленно | Удаленная работа | 0 руб | Разработка на <highlighttext>Python</highlighttext>. Разработка микросервисов и протоколов их взаимодействия. Взаимодействие с аналитиками, интеграция новых источников данных. Расширение и оптимизация существующего... | https://hh.ru/vacancy/69951210
Junior/Middle Python Developer | None | 0 руб | Разработка бекенда корпоративного приложения (фронт - flutter/dart). Корпоративный справочник, портал, работа с ЭЦП для документов. В команду входит 1 бэк... | https://hh.ru/vacancy/54374433
Разработчик Python | None | 0 руб | Backend-разработкой со старта продукта (Django). Построением структур баз данных (PostgreSQL). Проектированием и разработкой API (DRF). Управлением исходным кодом проекта... | https://hh.ru/vacancy/66097514
Python-разработчик в Яндекс Диск | None | 0 руб | Разрабатывать быстро растущую real-time распределённую файловую систему. Разрабатывать продуктовую и бизнес-логику. Создавать и внедрять технологии и механизмы обработки... | https://hh.ru/vacancy/67810506
Программист Python NLP SpaCy | Удаленная работа | от 200000 руб | Разработка модуля Machine Learning. Проектирование и разработка API. Интеграции с внешними сервисами. | https://hh.ru/vacancy/70348691
Python backend developer (middle) | Удаленная работа | до 200000 руб | Развитие и поддержка CRM финансовой организации (действующий бизнес). Грамотная и умелая интеграция функциональности со сторонними сервисами. Взаимодействие с командой, приветствуется... | https://hh.ru/vacancy/69904506
Разработчик Python (middle) | Удаленная работа | 0 руб | Разработка запросов к БД. Написание тестовых сценариев для проверке разработанного кода. | https://hh.ru/vacancy/70427595
Team lead Data Scientist | None | от 400000 руб | Делать полный цикл обучения моделей: Собирать фидбеки с заказчиков и улучшать модели. | https://hh.ru/vacancy/69712595
Data Analyst - NLP (to Canada/Serbia) | None | от 420000 руб | Build data-driven and ML-based compliance / conduct solutions in <highlighttext>Python</highlighttext>. Work on production applications. Refine internal tools and automations.  | https://hh.ru/vacancy/70138595
Инженер по автоматизации тестирования (PL/SQL, Python) | None | 0 руб | ...и видению банковского документооборота, построенная на БД Oracle. ОБЯЗАННОСТИ: Разработка автоматизированных сценариев на <highlighttext>Python</highlighttext> для тестирования пакетов базы данных Oracle. | https://hh.ru/vacancy/70416777
Python developer | Удаленная работа | 0 руб | EX CORP. — это экосистема сервисов для соревновательных игр. В нее входят продукты CS.MONEY, SCOPE.GG, XPLAY.GG, BLIX.GG. | https://hh.ru/vacancy/69774571
Администратор Linux/разработчик Python | Удаленная работа | 0 руб | ...серверов приложений, интеграционных систем с использованием <highlighttext>Python</highlighttext> + Ansible. Разработка продуктов и сервисов внутреннего облака с использованием <highlighttext>Python</highlighttext> + Ansible. | https://hh.ru/vacancy/70407084
Fullstack Python-разработчик | Удаленная работа | 150000 - 200000 руб | Разработка frontеnd и backend частей системы сбора данных и управления удаленными устройствами. Участие в разработке и анализе требований, проектировании архитектуры... | https://hh.ru/vacancy/69604920
SRE-инженер | None | 250000 - 350000 руб | Участвовать в разработке продукта: добавлять новые возможности и исправлять баги. Работать над обеспечением отказоустойчивой работы платформы в инфраструктурах клиентов.  | https://hh.ru/vacancy/70455751
Python Developer | None | 0 руб | ...сервисов, которые парсят соц. сети, размещают заказы и забрать часть сервисов, которые написаны на PHP и реализовать их на <highlighttext>Python</highlighttext>. | https://hh.ru/vacancy/69910421
Ведущий Python-разработчик | None | 0 руб | Разработка архитектурных решений в рамках проекта. Разработка нового функционала для бизнес-задач. Поддержка и развитие текущего функционала. Активное взаимодействие с... | https://hh.ru/vacancy/69427264
Разработчик Python(R&D) | None | 0 руб | Разработка системы управления распределенными программными компонентами под управлением Linux. Возможна fullstack-разработка или фокус на системной части или на web... | https://hh.ru/vacancy/43558725
Data Engineer (Python), remote | Удаленная работа | 0 руб | Develop analytical tools across numerous DeFi projects. Study DeFi protocols to analyze investment opportunities. Build data pipelines from multiple blockchain... | https://hh.ru/vacancy/70172156
Python Developer (ML Engineer) | None | 0 руб | Наша команда разрабатывает и поддерживает более 20 моделей ценообразования (прогнозы CLTV и ФОТ, рекомендации индивидуальных тарифов, пакетов услуг).  | https://hh.ru/vacancy/70478936
Python/Django разработчик | Удаленная работа | 0 руб | Проектировать и разрабатывать веб-приложения компании на <highlighttext>Python</highlighttext> / Django. Самостоятельно декомпозировать задачи бэклога. Оценивать трудоемкость задач вместе с командой.  | https://hh.ru/vacancy/69991945
Python developer на игровой проект Sidus Heroes | None | 120000 - 192000 руб | Разработка новых и доработка существующих игровых механик в соответствии с геймдизайн-документацией и планом разработки. Разработка API для взаимодействия с... | https://hh.ru/vacancy/70469743
Data Engineer | None | от 80000 руб | Аналитика различных предметных областей, подготовка наборов данных на разнородных источниках. Помощь в подготовке документации. | https://hh.ru/vacancy/69674055
Backend разработчик python | Удаленная работа | 0 руб | Участие в проектировании и реализации архитектурных решений. Реализация модулей взаимодействия между сервисами, приложениями и серверами. Код- ревью разработки внешней команды. | https://hh.ru/vacancy/69286252
Python-разработчик | Удаленная работа | 120000 - 190000 руб | None | https://hh.ru/vacancy/70228011
Middle/Middle+ Backend Developer (Python) | Удаленная работа | 150000 - 200000 руб | Реализовывать новый функционал, рефакторить код, фиксить баги, участвовать в code review и т.д. Написание unit и интеграционных тестов.  | https://hh.ru/vacancy/69569674
Python Developer - разработчик | None | 0 руб | Адекватное оценивание сроков разработки задач. | https://hh.ru/vacancy/69725990
Разработчик python (Middle/Senior) | Удаленная работа | 0 руб | Интересные проекты и современный стек (Celery, FastAPI, Tornado, PostgreSQL, RabbitMQ, Docker. Для разработки используем VS Code, Gitlab, Jira, Confluence).  | https://hh.ru/vacancy/70501812
Python-разработчик (VK рекламные технологии) | None | 0 руб | Разработка бэкендной части веб-интерфейса рекламной системы. Развитие API. Развитие системы обработки статистики. Оптимизация работы высоконагруженного проекта. | https://hh.ru/vacancy/70531151
Автор работ по программированию Python | Удаленная работа | до 90000 руб | Личный менеджер, который ведет коммуникацию с клиентами и помогает в решении возникающих вопросов и спорных ситуаций с заказчиками. | https://hh.ru/vacancy/70469632
Python Senior / TechLead | Удаленная работа | до 400000 руб | Работать с бизнесом - подвергать требования критическому анализу, выбирать оптимальную реализацию. Проводить декомпозицию задач совместно с командой. Следить за тех.  | https://hh.ru/vacancy/67906505
Junior Quantitative Researcher | Удаленная работа Опыт не нужен | 135000 - 180000 руб | Working with large and complex datasets to build quantitative models that predict future price movements. Applying modern mathematical and statistical... | https://hh.ru/vacancy/68888072
Программист Python Full stack (middle) | Удаленная работа | 100000 - 170000 руб | Full stack разработка сайта на <highlighttext>Python</highlighttext> (Django). Участие в разработке архитектуры решения. | https://hh.ru/vacancy/70427617
Аналитик-исследователь киберугроз | None | 150000 - 250000 руб | Разрабатывать алгоритмы выявления угроз: готовить правила детектирования и экспертов для обнаружения инцидентов ИБ. Разрабатывать сценарии и рекомендации по реагированию на... | https://hh.ru/vacancy/68581223
Senior Python-разработчик | None | 0 руб | Разработка новых и поддержка существующих сервисов. При определении круга задач учитываем пожелания, так как задач много. | https://hh.ru/vacancy/70359845
Разработчик С++/Python (senior), Linux, backend, embedded | None | 160000 - 250000 руб | Будет много задач на архитектуру, рефакторинг и разработка “с нуля” решения для управления большими группами контроллеров. | https://hh.ru/vacancy/70355793
Django Python Middle+/Senior | None | 150000 - 250000 руб | Составление ТЗ совместно с заказчиком, согласование сроков. Разработка архитектуры проекта. Разработка сайта на Django с нуля. Разработка API на Django... | https://hh.ru/vacancy/69560492
Middle Python Developer | None | 130000 - 250000 руб | Разработка и поддержка проектов. Разработка REST API сервисов для веб и мобильных приложений. Добавление новых продуктов и сервисов в приложение.  | https://hh.ru/vacancy/70091207
Middle python developer | Удаленная работа | 0 руб | Написание кода. Рефакторинг, работа с техническим долгом. Тестирование кода, написание тестов. Разработка архитектуры приложения. Разработка архитектуры базы данных.  | https://hh.ru/vacancy/70481225
Junior Python разработчик | None | 0 руб | Разработка кода, направленного на полную или частичную автоматизацию различных бизнес-процессов Компании. Тестирование и установка разработанных в подразделении решений.  | https://hh.ru/vacancy/70212155
Quantitative Researcher | Опыт не нужен | от 300000 руб | Исследовать рыночные данные и на их основе формулировать гипотезы о поведении рынка. Тестировать гипотезы и реализовывать результаты в виде торговых... | https://hh.ru/vacancy/70118714
Fullstack Python-разработчик | Удаленная работа | 150000 - 200000 руб | Разработка frontеnd и backend частей системы сбора данных и управления удаленными устройствами. Участие в разработке и анализе требований, проектировании архитектуры... | https://hh.ru/vacancy/69604919
Аналитик BI | None | от 240000 руб | Направления в которых предстоит работать: продукты аналитики для B2B сегмента. Взаимодействовать с бизнес-пользователям\продуктологом, формализовывать задачу, предлагать... | https://hh.ru/vacancy/69700212
Middle/Senior Python разработчик (удаленно) | Удаленная работа | до 250000 руб | Разработка программируемых (правила формирует человек) систем анализа и. Фильтрации сетевого трафика. Разработка самообучающихся автономных систем фильтрации трафика: сбор.  | https://hh.ru/vacancy/69896075
Python программист (Удаленно) | Удаленная работа | до 100000 руб | Разработка новых сервисов коммуникационной платформы (внутренний портал). Поддержка существующих сервисов платформы. Тестирование разработанных сервисов и исправление дефектов. Принятие архитектурных решений... | https://hh.ru/vacancy/70208173
Python Developer (ML Engineer) | None | 0 руб | Наша команда разрабатывает и поддерживает более 20 моделей ценообразования (прогнозы CLTV и ФОТ, рекомендации индивидуальных тарифов, пакетов услуг).  | https://hh.ru/vacancy/70478936
Middle Python Developer | None | 0 руб | Программирование распределенных вычислений. Программирование пилотных проектов в разных сферах – от медицины до финтеха. Участие в R&D, то есть решение... | https://hh.ru/vacancy/69992089
Python-разработчик | None | 0 руб | Разработка новых приложений и сервисов, а также доработка и сопровождение существующих. Взаимодействие с контрагентами при настройке интеграции с внешними системами. | https://hh.ru/vacancy/53864420
Middle/Senior Python разработчик | None | 0 руб | Используемый стек: <highlighttext>Python</highlighttext> 3.9, FastAPI, SQLAlchemy, Kubernetes, Docker, реляционные БД.  Основные задачи: разработка высоконагруженных сервисов/микросервисов; написание юнит-тестов... | https://hh.ru/vacancy/70477729
DevOps инженер | None | 100000 - 180000 руб | Настраивать и поддерживать различные процессы разработки и системного администрирования (билды, выкладка и тд). Заведовать настройкой метрик и уведомлений в системе... | https://hh.ru/vacancy/68444644
Программист Python | None | 0 руб | Поддержка, доработка и разработка внутренних web-сервисов компании. Участие во внедрении RPA-технологий. Участие в решении архитектурных, алгоритмических и математических... | https://hh.ru/vacancy/70047333
Python developer | None | 0 руб | разрабатывать новый функционал и интегрировать в существующие сервисы. — проектировать и реализовывать новые сервисы. — совершенствовать существующие решения и выделять отдельные микросервисы. | https://hh.ru/vacancy/52631785
Data scientist/Antifraud analyst | None | 0 руб | Создание дашбордов для внешних и внутренних заказчиков. Прототипирование отчетов для внешних заказчиков (антифрод, постклик/поствью, отчет по видимости рекламы, и... | https://hh.ru/vacancy/68898421
Аналитик Python / SQL (Департамент развития отношений с клиентами) | None | 0 руб | Построение скоринговых моделей в SAS miner и <highlighttext>Python</highlighttext>. Пстановка готовых моделей на ежеденевный расчет. Подготовка отчетов и рекомендаций по использованию... | https://hh.ru/vacancy/69278440
Middle Python developer | None | 150000 - 200000 руб | Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса. | https://hh.ru/vacancy/49299326
Middle Python developer | None | 150000 - 200000 руб | Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса. | https://hh.ru/vacancy/70097265
Data Scientist | None | 0 руб | Обработка больших данных как структурированных, так и неструктурированных (видео, изображения, текст, таблицы) c помощью методов ML и нейронных сетей.  | https://hh.ru/vacancy/70519282
Стажер разработчик BI | Опыт не нужен | 0 руб | Помогать в реализации дашбардов и поддержке уже реализованных в BI Qlik. | https://hh.ru/vacancy/70355093
Python Developer (Data направление) | None | от 150000 руб | Мигрировать даги с Airflow c Астрономера на Кубер. Мы готовы оперативно выходить с оффером, если понимаем, что подходим друг другу.  | https://hh.ru/vacancy/70406725
Python backend Middle/Senior developer | Удаленная работа | 0 руб | Проектировать архитектуру и реализовывать c нуля проекты на <highlighttext>Python</highlighttext>. | https://hh.ru/vacancy/69278697
Data Engineer (Middle) | None | 130000 - 180000 руб | Компания «Антиплагиат» занимается разработкой корпоративных продуктов по анализу текстов, в том числе крупнейшего в стране одноименного продукта по поиску текстовых... | https://hh.ru/vacancy/69658229
Middle/Middle+ Python Developer | Удаленная работа | 0 руб | Работал в команде более 7 человек. | https://hh.ru/vacancy/70460727
Python Developer | None | от 120000 руб | Design, develop and maintain new and existing <highlighttext>Python</highlighttext> code in accordance with the coding standards and best practices in one... | https://hh.ru/vacancy/70422712
Python разработчик в CM.Expert (Яндекс Вертикали) | None | 0 руб | Вместе с нами решать сложные архитектурные вопросы. Выполнять обилие разных задач: продуктовые, которые приносят пользу пользователям, совместные задачи с ML... | https://hh.ru/vacancy/68613186
Python разработчик (Middle / Senior) | Удаленная работа | 0 руб | Х5 Технологии — это отдельная бизнес-единица Х5 Group, которая отвечает за создание комплексных цифровых решений для бизнес-единиц... | https://hh.ru/vacancy/70506680
Senior Software Engineer | None | 400000 - 700000 руб | C++17(20) для реализации требовательных к нагрузкам сервисов. <highlighttext>Python</highlighttext> для реализации вспомогательных скриптов и компонент. Go для прототипирования и... | https://hh.ru/vacancy/70339672
Разработчик python (Middle/Senior) | Удаленная работа | 0 руб | Интересные проекты и современный стек (Celery, FastAPI, Tornado, PostgreSQL, RabbitMQ, Docker. Для разработки используем VS Code, Gitlab, Jira, Confluence).  | https://hh.ru/vacancy/69331999
Middle Python Developer | None | от 200000 руб | Данная система, самописная платформа - надстройка над Zabbix, ELK/EFK, Prometheus, Metabase, Dynatrace и другими средствами мониторинга и визуализации.  | https://hh.ru/vacancy/69955777
Data Engineer | None | 0 руб | Там порядка 40 тысяч строк на <highlighttext>Python</highlighttext> 3.8 и 3 тысячи на TypeScript (это админка). Критическая функциональность покрыта тестами... | https://hh.ru/vacancy/69710334
Software Engineer | None | 250000 - 350000 руб | C++17(20) для реализации требовательных к нагрузкам сервисов. <highlighttext>Python</highlighttext> для реализации вспомогательных скриптов и компонент. Go для прототипирования и... | https://hh.ru/vacancy/70339578
Automation QA engineer (Python) | None | до 250000 руб | Участие в проекте по автоматизации тестирования сложной распределённой системы. Модификация, усовершенствование, поддержка инструментов автоматизированного тестирования. Автоматизация процессов непрерывной интеграции и... | https://hh.ru/vacancy/68688641
Python Web Developer | None | 0 руб | Разбираешься в базах данных. Можешь разобраться с требованиями и придумать решение без посторонней помощи. | https://hh.ru/vacancy/69813451
Data Engineer (Python), remote | None | 0 руб | Develop analytical tools across numerous DeFi projects. Study DeFi protocols to analyze investment opportunities. Build data pipelines from multiple blockchain... | https://hh.ru/vacancy/70196015
Middle Python-разработчик | None | 0 руб | Разработка с использованием <highlighttext>Python</highlighttext>/Flask/Django. Поддержание проектов компании. Оптимизация существующих проектов компании. | https://hh.ru/vacancy/69500078
Программист Python | None | от 90000 руб | Поддерживать и оптимизировать текущие проекты, создавать новые. Учавствовать в проработке и улучшении архитектуры системы и API. Использовать современные подходы, инструменты... | https://hh.ru/vacancy/49955680
Backend разработчик python | Удаленная работа | 0 руб | Участие в проектировании и реализации архитектурных решений. Реализация модулей взаимодействия между сервисами, приложениями и серверами. Код- ревью разработки внешней команды. | https://hh.ru/vacancy/69286251
Разработчик Python (Django) | None | 0 руб | None | https://hh.ru/vacancy/69374810
Senior Python Developer (в аккредитованную ИТ компанию) | Удаленная работа | до 350000 руб | Разработка, code review, рефакторинг кода. Сопровождение и документирование написанного кода. Участие в проектировании систем. Оптимизация сервисов под высокие нагрузки.  | https://hh.ru/vacancy/42615019
Python-разработчик (Рамблер/рекомендации) | None | 0 руб | Поддержкой и развитием highload API (aiohttp, redis cluster). Сейчас держим 1к rps, целевая нагрузка ~8к rps.  | https://hh.ru/vacancy/68286552
Количественный аналитик (Python) | None | 0 руб | Количественный анализ рынка облигаций, тестирование стратегий торговли облигациями. В перспективе исполнение торговых сделок на рынке облигаций, денежном рынке.  | https://hh.ru/vacancy/70210256
Программист Python | None | от 70000 руб | Разработка новых информационных сервисов и систем. Проектирование и разработка API. Программирование сценариев обзвона для робота. Поддержка и доработка существующих проектов.  | https://hh.ru/vacancy/70161478
Middle Python backend developer | None | 90000 - 180000 руб | Разработка веб-приложений и микросервисов. Участие в разработке архитектур проектов. Ведение и поддержка в актуальном состоянии технической документации и тестов.  | https://hh.ru/vacancy/70020770
Fullstack техлид (Python) | Удаленная работа | 250000 - 450000 руб | Разработка веб-платформы и инфраструктуры - фронт, бэк, база данных, очереди задач, вычислительные модули. Планирование архитектуры на несколько шагов вперед, формирование... | https://hh.ru/vacancy/69700470
Разработчик SQL / Аналитик (Data Management, BigData BI) | None | 0 руб | Аналитика различных предметных областей, подготовка наборов данных на разнородных источниках. Стек: аналитический движок Luxms BI, PostgreSQL, Clickhouse, Greenplum, Oracle, MSSQL... | https://hh.ru/vacancy/69147319
Python разработчик | None | 0 руб | Разрабатывать приложения на <highlighttext>python</highlighttext>. Участвовать в проектировании архитектуры проекта, согласовании требований. Осуществлять code-review и рефакторинг кода. | https://hh.ru/vacancy/70152816
Разработчик по оптимизации бизнес-процессов (Python) | None | до 90000 руб | Инициация и ведение проектов в части автоматизации и оптимизации бизнес-процессов. Анализ и описание бизнес-процессов As Is, моделирование и... | https://hh.ru/vacancy/69522337
Python-разработчик (Django, DRF) | Удаленная работа | 60000 - 150000 руб | Внимание: с командами не работаем, только с индивидуальными исполнителями. Профессиональный рост и участие в построении архитектур сложных систем. | https://hh.ru/vacancy/39736489
